City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Ponta Do Sol,PT,32.6667,-17.1,85.71,70,1,2.46,clear sky
254,Bayanday,RU,53.0661,105.5139,55.8,95,100,1.43,overcast clouds
255,Springbok,ZA,-29.6643,17.8865,68.11,24,0,19.01,clear sky
256,Lata,PT,40.1629,-8.3327,86.49,47,0,10.98,clear sky
257,Marzuq,YE,14.4,46.4667,88.54,36,46,5.14,scattered clouds
258,Ligayan,PH,4.6533,119.4706,84.54,75,25,15.46,scattered clouds
259,Porto Santo,PT,33.072,-16.3415,80.51,64,40,13.8,scattered clouds
260,Marianske Lazne,CZ,49.9646,12.7012,75.85,53,0,8.95,clear sky
261,Coquimbo,CL,-29.9533,-71.3436,47.93,93,90,8.05,overcast clouds
262,Kollegal,IN,12.15,77.1167,74.59,93,100,8.59,overcast clouds
263,Gangakher,IN,18.95,76.75,85.39,68,100,7.38,overcast clouds
264,Kargasok,RU,59.0556,80.8572,60.37,82,52,5.32,broken clouds
265,Anchorage,US,61.2181,-149.9003,63.19,82,1,0.0,clear sky
266,Bonthe,SL,7.5264,-12.505,81.21,77,100,6.53,light rain
267,Salalah,OM,17.0151,54.0924,78.89,89,90,10.36,overcast clouds
268,Mangan,IN,27.5167,88.5333,77.56,94,100,1.77,overcast clouds
269,Saint George,US,37.1041,-113.5841,84.34,50,1,1.99,clear sky
270,Livingstone,ZM,-17.8419,25.8543,72.91,24,1,8.99,clear sky
271,Inirida,CO,3.8653,-67.9239,71.28,99,100,2.35,moderate rain
272,Port Arthur,CN,38.8,121.2667,77.22,88,0,9.33,clear sky
273,Bontang,ID,0.1333,117.5,79.56,86,20,10.67,few clouds
274,Indramayu,ID,-6.3264,108.32,81.73,72,15,5.88,few clouds
275,Jalu,LY,29.0331,21.5482,95.45,23,0,13.62,clear sky
276,Pringsewu,ID,-5.3582,104.9744,75.0,85,51,2.37,broken clouds
277,Khatanga,RU,71.9667,102.5,63.46,69,100,7.43,overcast clouds
278,Murwara,IN,23.85,80.4,79.92,82,100,5.37,moderate rain
279,Petukhovo,RU,55.0692,67.9019,68.56,68,89,4.23,overcast clouds
280,Batagay-Alyta,RU,67.8006,130.4114,49.95,62,31,5.35,scattered clouds
281,Piacabucu,BR,-10.4056,-36.4344,79.41,75,24,8.01,few clouds
282,Tilichiki,RU,60.4667,166.1,49.95,91,100,0.2,overcast clouds
283,Akyab,MM,20.15,92.9,82.56,82,100,8.5,overcast clouds
284,Progreso,MX,21.2833,-89.6667,77.11,76,10,6.91,clear sky
285,Kijang,KR,35.2442,129.2139,80.33,87,100,6.17,overcast clouds
286,Pampa,US,35.5362,-100.9599,72.57,100,40,4.61,mist
287,Codrington,AU,-38.2667,141.9667,46.89,95,100,8.63,overcast clouds
288,Tessalit,ML,20.1986,1.0114,108.54,10,25,3.74,scattered clouds
289,Laguna,US,38.421,-121.4238,74.84,65,1,1.99,clear sky
290,Bafoulabe,ML,13.8065,-10.8321,99.46,35,13,2.77,few clouds
291,Nandigama,IN,16.7833,80.3,82.2,76,96,6.85,overcast clouds
292,Socorro,US,31.6546,-106.3033,79.07,57,75,6.91,broken clouds
293,Roebourne,AU,-20.7833,117.1333,70.34,42,0,4.43,clear sky
294,Kieta,PG,-6.2167,155.6333,79.45,81,100,4.18,overcast clouds
295,Mitsamiouli,KM,-11.3847,43.2844,77.23,70,14,12.57,light rain
296,Jurm,AF,36.8648,70.8342,80.02,33,100,6.11,overcast clouds
297,Kaitangata,NZ,-46.2817,169.8464,45.23,91,99,6.96,overcast clouds
298,Nemuro,JP,43.3236,145.575,66.09,88,0,4.63,clear sky
299,Tabuk,PH,17.4189,121.4443,76.17,96,100,2.06,moderate rain
300,Sungaipenuh,ID,-2.0833,101.3833,65.93,99,57,0.87,broken clouds
301,Flinders,AU,-34.5833,150.8552,51.21,71,17,1.01,few clouds
302,Port Hedland,AU,-20.3167,118.5667,62.65,63,8,6.91,clear sky
303,Sringeri,IN,13.4167,75.25,68.9,98,100,7.4,light rain
304,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,63,0,9.44,clear sky
305,Dakar,SN,14.6937,-17.4441,88.68,70,75,16.11,broken clouds
306,Benoni,ZA,-26.1885,28.3208,63.5,16,0,10.36,clear sky
307,Beringovskiy,RU,63.05,179.3167,49.5,89,13,9.4,few clouds
308,Salinopolis,BR,-0.6136,-47.3561,84.78,67,5,8.99,clear sky
309,Aklavik,CA,68.2191,-135.0107,56.12,77,96,16.4,overcast clouds
310,Sydney,AU,-33.8679,151.2073,52.72,70,0,1.01,clear sky
311,Nkhata Bay,MW,-11.6066,34.2907,72.79,52,7,8.12,clear sky
312,Kamogawa,JP,35.1,140.1,82.06,93,64,6.53,broken clouds
313,Zimovniki,RU,47.1483,42.4633,99.57,18,5,5.37,clear sky
314,Gauribidanur,IN,13.6111,77.5167,79.52,86,100,12.97,overcast clouds
315,Joensuu,FI,62.6012,29.7632,61.29,94,90,5.75,overcast clouds
316,Ngaoundere,CM,7.3167,13.5833,73.6,74,100,6.6,light rain
317,Gubkinskiy,RU,64.434,76.5026,64.27,45,22,7.25,few clouds
318,Buala,SB,-8.145,159.5921,80.4,85,100,9.46,overcast clouds
319,Abnub,EG,27.2696,31.1511,107.82,11,3,9.57,clear sky
320,Manutuke,NZ,-38.6833,177.9167,50.99,81,19,7.74,few clouds
321,Zhigansk,RU,66.7697,123.3711,53.8,52,100,3.96,overcast clouds
322,Namibe,AO,-15.1961,12.1522,77.63,69,40,13.8,scattered clouds
323,Bardiyah,LY,31.7561,25.0865,82.08,60,0,16.51,clear sky
324,Kirkwall,GB,58.9848,-2.9587,57.25,72,40,6.91,scattered clouds
325,Lixourion,GR,38.2019,20.4314,84.06,65,20,5.75,few clouds
326,Ornskoldsvik,SE,63.2909,18.7153,66.02,59,0,11.5,clear sky
327,Saint-Francois,FR,46.4154,3.9054,83.64,46,0,13.8,clear sky
328,Can Tho,VN,10.0333,105.7833,80.58,89,40,9.22,scattered clouds
329,Gazanjyk,TM,39.2446,55.5154,105.26,10,0,7.56,clear sky
330,Rongcheng,CN,30.634,117.8517,75.74,90,91,2.98,overcast clouds
331,Kruisfontein,ZA,-34.0033,24.7314,76.89,19,0,7.83,clear sky
332,Biak,ID,-0.9131,122.8766,76.19,86,100,3.91,overcast clouds
333,Moose Factory,CA,51.2585,-80.6094,46.4,87,90,6.91,overcast clouds
334,Rawson,AR,-43.3002,-65.1023,42.57,58,7,13.94,clear sky
335,Yerbogachen,RU,61.2767,108.0108,60.12,71,100,7.27,overcast clouds
336,Port Hardy,CA,50.6996,-127.4199,55.4,93,75,3.44,broken clouds
337,Avarua,CK,-21.2078,-159.775,75.25,83,20,6.91,few clouds
338,Miles City,US,46.4083,-105.8406,70.77,52,1,6.91,clear sky
339,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,84.33,66,13,4.12,few clouds
340,Aragarcas,BR,-15.8975,-52.2508,83.05,42,0,2.3,clear sky
341,Pavlodar,KZ,52.3,76.95,73.2,60,40,6.71,scattered clouds
342,San Jeronimo,PE,-11.9472,-75.2829,50.97,56,24,1.28,few clouds
343,Buckeye,US,33.3703,-112.5838,90.5,48,100,0.0,overcast clouds
344,Glendale,US,33.5387,-112.186,89.49,54,1,1.99,clear sky
